steel_name,model,edge_retention,toughness,raw_response
CPM M4,deepseek/deepseek-chat-v3.1,9.0,5.0,"{""edge_retention"": 9, ""toughness"": 5}"
CPM MagnaCut,deepseek/deepseek-chat-v3.1,9.0,8.0,"{""edge_retention"": 9, ""toughness"": 8}"
CPM Rex 121,deepseek/deepseek-chat-v3.1,10.0,2.0,"{""edge_retention"": 10, ""toughness"": 2}"
CPM S110V,deepseek/deepseek-chat-v3.1,10.0,2.0,"{""edge_retention"": 10, ""toughness"": 2}"
CPM S125V,deepseek/deepseek-chat-v3.1,9.0,3.0,"{""edge_retention"": 9, ""toughness"": 3}"
CPM S30V,deepseek/deepseek-chat-v3.1,9.0,5.0,"{ ""edge_retention"": 9, ""toughness"": 5 }"
CPM S35VN,deepseek/deepseek-chat-v3.1,8.0,6.0,"{""edge_retention"": 8, ""toughness"": 6}"
CPM S45VN,deepseek/deepseek-chat-v3.1,9.0,7.0,"{""edge_retention"": 9, ""toughness"": 7}"
CPM S60V,deepseek/deepseek-chat-v3.1,8.0,3.0,"{""edge_retention"": 8, ""toughness"": 3}"
CPM S90V,deepseek/deepseek-chat-v3.1,9.0,3.0,"{""edge_retention"": 9, ""toughness"": 3}"
CTS-BD1N,deepseek/deepseek-chat-v3.1,8.0,4.0,"{""edge_retention"": 8, ""toughness"": 4}"
Caldie,deepseek/deepseek-chat-v3.1,7.5,6.0,"{""edge_retention"": 7.5, ""toughness"": 6}"
CruForgeV,deepseek/deepseek-chat-v3.1,5.0,7.0,"{""edge_retention"": 5, ""toughness"": 7}"
D2,deepseek/deepseek-chat-v3.1,8.0,4.0,"{""edge_retention"": 8, ""toughness"": 4}"
Elmax,deepseek/deepseek-chat-v3.1,9.0,6.0,"{""edge_retention"": 9, ""toughness"": 6}"
K390,deepseek/deepseek-chat-v3.1,9.0,4.0,"{""edge_retention"": 9, ""toughness"": 4}"
LC200N,deepseek/deepseek-chat-v3.1,7.0,8.0,"{""edge_retention"": 7, ""toughness"": 8}"
M2,deepseek/deepseek-chat-v3.1,8.0,4.0,"{""edge_retention"": 8, ""toughness"": 4}"
M390,deepseek/deepseek-chat-v3.1,9.0,5.0,"{""edge_retention"": 9, ""toughness"": 5}"
Niolox,deepseek/deepseek-chat-v3.1,7.0,6.0,"{""edge_retention"": 7, ""toughness"": 6}"
Nitro-V,deepseek/deepseek-chat-v3.1,6.0,7.0,"{""edge_retention"": 6, ""toughness"": 7}"
O1,deepseek/deepseek-chat-v3.1,5.0,6.0,"{""edge_retention"": 5, ""toughness"": 6}"
SG2,deepseek/deepseek-chat-v3.1,9.0,6.0,"{""edge_retention"": 9, ""toughness"": 6}"
V-Toku 2,deepseek/deepseek-chat-v3.1,7.0,4.0,"{""edge_retention"": 7, ""toughness"": 4}"
VG-10,deepseek/deepseek-chat-v3.1,7.0,5.0,"{""edge_retention"": 7, ""toughness"": 5}"
Vanadis 8,deepseek/deepseek-chat-v3.1,9.0,4.0,"{""edge_retention"": 9, ""toughness"": 4}"
Vanax,deepseek/deepseek-chat-v3.1,9.0,5.0,"{""edge_retention"": 9, ""toughness"": 5}"
Z-Max,deepseek/deepseek-chat-v3.1,9.0,2.0,"{""edge_retention"": 9, ""toughness"": 2}"
Z-Tuff,deepseek/deepseek-chat-v3.1,6.0,8.0,"{""edge_retention"": 6, ""toughness"": 8}"
ZDP-189,deepseek/deepseek-chat-v3.1,9.0,2.0,"{""edge_retention"": 9, ""toughness"": 2}"
